Case Number,Casecode,Opened,Closed,Charges,Disposition
22-240,APCON,9/14/2022,10/26/2022,FELONY,Dismissal
22-241,APCON,9/20/2022,6/9/2023,FELONY,Plea
22-243,APCON,10/7/2022,11/8/2022,FELONY,Dismissal
22-244,APCON,10/4/2022,5/10/2023,FELONY,Plea
22-245,APCON,10/4/2022,1/22/2024,FELONY,Plea
22-249,APCON,10/4/2022,11/17/2022,FELONY,Dismissal
22-251,APCON,9/13/2022,8/9/2023,FELONY,Dismissal
22-252,APCON,10/18/2022,4/1/2024,FELONY,Plea
22-255,APCON,10/24/2022,4/15/2024,FELONY,Plea
22-257,APCON,11/2/2022,11/15/2022,FELONY,Dismissal
22-258,APCON,10/31/2022,1/5/2023,FELONY,Plea
22-260,APCON,11/2/2022,11/30/2022,FELONY,Other
22-261,APCON,11/3/2022,12/13/2022,FELONY,Plea
22-262,APCON,11/4/2022,00/00/0000,FELONY,
22-263,APCON,11/4/2022,7/18/2023,FELONY,Plea
22-264,APCON,11/7/2022,11/9/2022,FELONY,Other
22-265,APCON,11/4/2022,11/29/2023,FELONY,Other
22-267,APCON,11/10/2022,6/15/2023,FELONY,Other
22-268,APCON,11/10/2022,7/10/2023,FELONY,Plea
22-272,APCON,11/10/2022,12/4/2023,FELONY,Plea
22-274,APCON,11/28/2022,1/26/2023,FELONY,Dismissal
22-275,APCON,11/22/2022,10/23/2023,FELONY,Plea
22-277,APCON,11/28/2022,1/26/2023,FELONY,Plea
22-281,APCON,10/24/2022,4/15/2024,FELONY,Plea
22-283,APCON,11/30/2022,11/30/2022,FELONY,Other
22-285,APCON,12/2/2022,12/28/2022,FELONY,Other
22-288,APCON,12/13/2022,2/16/2023,FELONY,Plea
22-289,APCON,12/13/2022,11/28/2023,FELONY,Plea
22-290,APCON,12/13/2022,12/16/2024,FELONY,Plea
22-291,APCON,12/14/2022,3/1/2023,FELONY,Plea
22-294,APCON,12/14/2022,1/20/2023,FELONY,Plea
22-296,APCON,12/16/2022,6/8/2023,FELONY,Plea
22-298,APCON,12/20/2022,1/30/2023,FELONY,Plea
22-299,APCON,12/20/2022,1/17/2024,FELONY,Other
22-300,APCON,12/23/2022,4/5/2023,FELONY,Plea
22-302,APCON,12/22/2022,9/11/2023,FELONY,Plea
22-303,APCON,12/22/2022,4/8/2024,FELONY,Plea
22-305,APCON,12/27/2022,3/10/2023,FELONY,Plea
23-004,APCON,1/6/2023,2/16/2023,FELONY,Plea
23-010,APCON,1/11/2023,1/17/2024,FELONY,Other
23-014,APCON,1/18/2023,3/30/2023,FELONY,Plea
23-015,APCON,1/18/2023,00/00/0000,FELONY,
22-308,APCON,10/18/2022,11/17/2022,FELONY,Dismissal
23-017,APCON,1/24/2023,4/13/2023,FELONY,Plea
23-019,APCON,1/27/2023,10/2/2023,FELONY,Plea
23-021,CRI-DUI,1/31/2023,00/00/0000,FELONY,
23-022,APCON,1/31/2023,4/11/2024,FELONY,Plea
23-023,APCON,1/31/2023,2/5/2024,FELONY,Plea
23-025,APCRPB,2/2/2023,6/22/2023,FELONY,Plea
23-026,APCON,2/3/2023,12/4/2023,FELONY,Plea
23-028,APCON,2/6/2023,6/22/2023,FELONY,Plea
23-029,APCON,2/6/2023,9/18/2023,FELONY,Plea
23-030,APCON,2/6/2023,4/10/2023,FELONY,Dismissal
23-036,APCON,2/8/2023,5/23/2023,FELONY,Plea
23-037,APCON,2/10/2023,11/13/2023,FELONY,Plea
23-039,APCON,2/17/2023,11/9/2023,FELONY,Plea
23-040,APCON,2/21/2023,8/1/2023,FELONY,Plea
23-050,APCON,3/1/2023,7/10/2023,FELONY,Dismissal
23-051,APCON,3/1/2023,7/10/2023,FELONY,Plea
23-052,APCON,3/6/2023,3/8/2023,FELONY,Other
23-058,APCON,3/7/2023,5/4/2023,FELONY,Plea
23-060,APCON,3/7/2023,6/12/2023,FELONY,Plea
23-063,APCON,3/8/2023,3/10/2023,FELONY,Plea
23-067,APCON,3/10/2023,5/4/2023,FELONY,Plea
23-068,APCON,3/10/2023,3/20/2023,FELONY,Other
23-069,APCON,3/10/2023,10/9/2023,FELONY,Dismissal
23-073,APCON,3/15/2023,4/20/2023,FELONY,Plea
23-080,APCON,3/16/2023,5/10/2023,FELONY,Plea
23-082,CRI,3/2/2023,00/00/0000,FELONY,
23-083,APCON,3/20/2023,9/11/2023,FELONY,Dismissal
23-086,APCON,3/24/2023,8/1/2023,FELONY,Plea
23-090,APCON,4/5/2023,8/15/2023,FELONY,Dismissal
23-092,APCON,4/10/2023,5/10/2023,FELONY,Plea
23-093,APCON,2/14/2023,00/00/0000,FELONY,
23-095,APCON,4/14/2023,6/3/2024,FELONY,Plea
23-096,APCON,4/17/2023,5/19/2023,FELONY,Plea
23-102,APCON,4/19/2023,11/28/2023,FELONY,Plea
23-103,APCON,4/18/2023,8/24/2023,FELONY,Plea
23-104,APCON,4/19/2023,7/17/2023,FELONY,Plea
23-107,APCON,4/25/2023,9/19/2023,FELONY,Plea
23-109,APCON,5/2/2023,9/14/2023,FELONY,Other
23-114,APCON,5/9/2023,9/21/2023,FELONY,Plea
23-115,APCON,5/9/2023,8/15/2023,FELONY,Plea
23-116,APCON,5/11/2023,9/8/2023,FELONY,Dismissal
23-117,APCON,5/12/2023,6/21/2024,FELONY,Dismissal
23-119,APCON,5/15/2023,00/00/0000,FELONY,
23-120,APCON,5/16/2023,6/13/2023,FELONY,Other
23-124,APCON,5/24/2023,9/11/2023,FELONY,Plea
23-125,APCON,5/26/2023,7/10/2023,FELONY,Plea
23-127,APCON,5/30/2023,8/10/2023,FELONY,Plea
23-132,APCON,6/6/2023,9/18/2023,FELONY,Other
23-133,APCON,6/6/2023,12/6/2023,FELONY,Plea
23-137,APCON,6/8/2023,6/11/2024,FELONY,Plea
23-138,APCON,6/8/2023,9/21/2023,FELONY,Plea
23-140,APCON,6/13/2023,10/3/2024,FELONY,Plea
23-142,APCON,6/15/2023,7/12/2024,FELONY,Plea
23-144,APCON,6/22/2023,00/00/0000,FELONY,
23-145,APCON,6/23/2023,12/7/2023,FELONY,Dismissal
23-146,APCON,6/27/2023,7/11/2023,FELONY,Plea
23-148,APCON,6/28/2023,9/8/2023,FELONY,Dismissal
23-149,APCON,6/29/2023,8/31/2023,FELONY,Plea
23-150,APCON,6/30/2023,10/10/2023,FELONY,Plea
23-167,APCON,7/10/2023,8/29/2023,FELONY,Plea
23-153,APCON,7/11/2023,8/3/2023,FELONY,Plea
23-154,APCON,7/11/2023,7/18/2023,FELONY,Plea
23-159,CRI,7/14/2023,9/12/2023,FELONY,Dismissal
23-160,APCON,7/14/2023,12/16/2024,FELONY,Plea
23-168,APCON,7/19/2023,2/5/2024,FELONY,Plea
23-169,APCON,7/25/2023,8/16/2024,FELONY,Plea
23-170,APCON,7/26/2023,8/24/2023,FELONY,Dismissal
23-171,APCON,7/28/2023,10/4/2023,FELONY,Plea
23-177,APCON,8/1/2023,8/1/2023,FELONY,
23-179,APCON,8/7/2023,3/10/2025,FELONY,Plea
23-182,CRI,9/12/2023,00/00/0000,FELONY,
23-183,APCON,8/10/2023,10/9/2023,FELONY,Plea
23-184,APCON,8/15/2023,8/16/2023,FELONY,Other
23-185,CRI,8/16/2023,00/00/0000,FELONY,
23-188,APCON,8/18/2023,00/00/0000,FELONY,
23-289,APCON,11/17/2023,12/5/2023,FELONY,Plea
23-191,APCON,8/23/2023,7/16/2024,FELONY,Other
23-194,APCON,8/24/2023,10/12/2023,FELONY,Dismissal
23-198,APCON,8/28/2023,9/11/2023,FELONY,Other
23-199,APCON,8/29/2023,1/29/2024,FELONY,Plea
23-200,APCON,8/29/2023,10/3/2023,FELONY,Other
23-203,APCON,8/31/2023,3/11/2024,FELONY,Plea
23-204,APCON,9/5/2023,5/29/2024,FELONY,Plea
23-205,APCON,9/6/2023,2/13/2024,FELONY,Plea
23-206,APCON,9/6/2023,9/11/2023,FELONY,Other
23-208,CRI,9/8/2023,00/00/0000,FELONY,
23-209,APCON,9/8/2023,9/21/2023,FELONY,Other
23-210,APCON,9/11/2023,1/22/2024,FELONY,Plea
23-211,APCON,9/13/2023,10/25/2023,FELONY,Plea
23-212,APCON,9/13/2023,12/19/2023,FELONY,Other
23-213,APCON,9/14/2023,10/2/2023,FELONY,Other
23-214,APCON,9/12/2023,5/9/2024,FELONY,Dismissal
23-215,APCON,9/12/2023,1/16/2024,FELONY,Plea
23-217,APCON,9/18/2023,00/00/0000,FELONY,Plea
23-219,APCON,9/20/2023,2/20/2024,FELONY,Dismissal
23-221,APCON,9/19/2023,1/30/2024,FELONY,Plea
23-222,APCON,9/19/2023,12/11/2023,FELONY,Plea
23-231,APCON,10/2/2023,3/27/2024,FELONY,Plea
23-232,APCON,10/2/2023,11/14/2024,FELONY,Dismissal
23-233,APCON,10/3/2023,1/14/2025,FELONY,Plea
23-234,APCON,10/4/2023,2/13/2024,FELONY,Plea
23-237,APCON,10/6/2023,10/9/2023,FELONY,Other
23-243,APCON,10/9/2023,11/8/2024,FELONY,Plea
23-244,APCON,10/9/2023,12/4/2023,FELONY,Plea
23-245,CRI,10/6/2023,00/00/0000,FELONY,
23-246,APCON,10/10/2023,1/11/2024,FELONY,Plea
23-247,APCON,10/10/2023,11/27/2023,FELONY,Plea
23-288,APCON,11/16/2023,00/00/0000,FELONY,
23-287,APCON,11/15/2023,1/2/2024,FELONY,Plea
23-254,APCON,10/31/2023,6/17/2024,FELONY,Plea
23-262,APCON,10/17/2023,11/14/2023,FELONY,Plea
23-263,APCON,10/18/2023,5/15/2024,FELONY,Plea
23-268,APCON,10/25/2023,4/11/2024,FELONY,Plea
23-269,APCON,10/24/2023,5/16/2024,FELONY,Plea
23-270,CRI,10/25/2023,00/00/0000,FELONY,
23-273,APCON,10/31/2023,1/11/2024,FELONY,Dismissal
23-274,APCON,10/31/2023,10/17/2024,FELONY,Plea
23-275,APCON,10/31/2023,2/13/2024,FELONY,Plea
23-276,APCON,11/1/2023,00/00/0000,FELONY,
23-277,CRI,10/31/2023,00/00/0000,FELONY,
23-278,APCON,11/6/2023,11/7/2023,FELONY,Other
23-279,APCON,11/3/2023,11/15/2023,FELONY,Other
23-280,APCON,11/6/2023,00/00/0000,FELONY,Plea
23-283,APCON,11/8/2023,8/15/2024,FELONY,Other
23-285,CRI,11/9/2023,00/00/0000,FELONY,
23-290,APCON,11/17/2023,00/00/0000,FELONY,
23-293,APCON,11/21/2023,2/27/2025,FELONY,Dismissal
23-294,APJDSQ,11/20/2023,00/00/0000,FELONY,
23-297,APCON,11/28/2023,5/2/2024,FELONY,Plea
23-298,APCON,12/1/2023,4/11/2024,FELONY,Plea
23-302,APCON,12/5/2023,4/24/2024,FELONY,Plea
23-303,APCON,12/5/2023,4/24/2024,FELONY,Plea
23-304,APCON,12/6/2023,6/13/2024,FELONY,Plea
23-306,APCON,12/12/2023,6/10/2024,FELONY,Plea
23-316,APCON,12/22/2023,8/22/2024,FELONY,Plea
23-317,APCON,12/27/2023,2/26/2024,FELONY,Dismissal
24-001,APCON,1/2/2024,1/23/2025,FELONY,Plea
24-003,APCON,1/3/2024,1/16/2025,FELONY,Plea
24-004,APCON,1/10/2024,4/8/2024,FELONY,Plea
24-005,APCON,1/11/2024,4/11/2024,FELONY,Dismissal
24-006,CRI,1/11/2024,00/00/0000,FELONY,
24-008,APCON,1/16/2024,1/16/2024,FELONY,Dismissal
24-011,APCON,1/23/2024,9/20/2024,FELONY,Dismissal
24-012,APCON,1/23/2024,9/20/2024,FELONY,Plea
24-013,APCON,1/24/2024,5/2/2024,FELONY,Plea
24-017,APCON,1/31/2024,8/19/2024,FELONY,Plea
24-020,APCON,2/5/2024,2/20/2025,FELONY,Plea
24-021,APCON,2/5/2024,2/20/2025,FELONY,Plea
24-022,APCON,2/5/2024,10/3/2024,FELONY,Plea
24-023,CRI,2/6/2024,00/00/0000,FELONY,
24-025,APCON,2/7/2024,6/3/2024,FELONY,Plea
24-026,APCON,2/7/2024,3/21/2024,FELONY,Plea
24-035,APCON,2/13/2024,9/17/2024,FELONY,Plea
24-041,APCON,2/20/2024,3/20/2024,FELONY,Dismissal
24-042,CRI,2/20/2024,00/00/0000,FELONY,
24-043,APCON,2/23/2024,12/19/2024,FELONY,Plea
24-045,APCON,2/27/2024,3/5/2024,FELONY,Other
24-047,APCON,2/28/2024,6/13/2024,FELONY,Plea
24-048,APCON,2/28/2024,3/19/2024,FELONY,Plea
24-050,APCON,2/28/2024,4/11/2024,FELONY,Plea
24-051,APCON,3/15/2024,3/15/2024,FELONY,Plea
24-055,APCON,3/11/2024,6/13/2024,FELONY,Plea
24-059,APCON,3/19/2024,10/3/2024,FELONY,Plea
24-062,APCON,3/25/2024,00/00/0000,FELONY,
24-063,APCON,3/25/2024,00/00/0000,FELONY,
24-065,APCON,4/2/2024,4/9/2024,FELONY,Other
24-066,APCON,4/2/2024,5/7/2024,FELONY,Dismissal
24-067,APCON,4/5/2024,2/1/2025,FELONY,Other
24-068,CRI,4/9/2024,00/00/0000,FELONY,
24-070,APCON,4/16/2024,00/00/0000,FELONY,
24-072,APCON,4/18/2024,9/9/2024,FELONY,Plea
24-074,APCON,4/24/2024,5/30/2024,FELONY,Plea
24-077,APCON,4/24/2024,7/15/2024,FELONY,Plea
24-082,APCON,5/2/2024,11/20/2024,FELONY,Plea
24-083,APCON,5/13/2024,00/00/0000,FELONY,
24-085,APCON,5/9/2024,5/16/2024,FELONY,Plea
24-090,CRI,5/13/2024,00/00/0000,FELONY,
24-091,APCON,5/13/2024,00/00/0000,FELONY,
24-092,APCON,5/13/2024,00/00/0000,FELONY,
24-093,APCON,5/13/2024,2/3/2025,FELONY,Plea
24-096,APCON,5/15/2024,6/20/2024,FELONY,Plea
24-097,APCON,5/15/2024,2/3/2025,FELONY,Plea
24-098,APCON,5/15/2024,7/17/2024,FELONY,Plea
24-101,APCON,5/17/2024,6/10/2024,FELONY,Plea
24-103,APCON,5/17/2024,00/00/0000,FELONY,
24-104,APCON,5/20/2024,10/10/2024,FELONY,Plea
24-105,APCON,5/20/2024,10/10/2024,FELONY,Plea
24-107,APCON,5/22/2024,1/9/2025,FELONY,Other
24-109,APCON,5/22/2024,00/00/0000,FELONY,
24-112,APCON,5/29/2024,12/12/2024,FELONY,Plea
24-115,APCON,5/30/2024,00/00/0000,FELONY,
24-116,APCON,6/4/2024,9/5/2024,FELONY,Plea
24-117,APCON,6/4/2024,00/00/0000,FELONY,
24-118,APCON,6/4/2024,10/10/2024,FELONY,Plea
24-120,APCON,6/7/2024,8/22/2024,FELONY,Dismissal
24-123,APCON,6/10/2024,00/00/0000,FELONY,
24-126,APCON,6/11/2024,1/13/2025,FELONY,Plea
24-135,APCON,6/21/2024,9/16/2024,FELONY,Dismissal
24-141,APCON,7/8/2024,8/29/2024,FELONY,Plea
24-143,APCON,7/3/2024,12/19/2024,FELONY,Plea
24-145,APCON,7/5/2024,12/16/2024,FELONY,Other
24-149,APCON,7/12/2024,00/00/0000,FELONY,
24-151,APCON,7/11/2024,8/13/2024,FELONY,Plea
24-152,APCON,7/12/2024,00/00/0000,FELONY,
24-154,APCON,7/15/2024,00/00/0000,FELONY,
24-156,APCON,7/16/2024,00/00/0000,FELONY,
24-157,APCON,7/17/2024,9/12/2024,FELONY,Dismissal
24-159,APCON,7/17/2024,8/28/2024,FELONY,Dismissal
24-160,APCON,7/18/2024,2/3/2025,FELONY,Plea
24-162,APCON,7/18/2024,8/8/2024,FELONY,Dismissal
24-166,APCON,7/23/2024,00/00/0000,FELONY,
24-167,APCON,7/23/2024,00/00/0000,FELONY,
24-254,APCON,11/26/2024,00/00/0000,FELONY,
24-179,APCON,7/25/2024,8/29/2024,FELONY,Plea
24-181,APCON,8/2/2024,9/12/2024,FELONY,Plea
24-190,APCON,8/16/2024,3/3/2025,FELONY,Other
24-193,APCON,8/26/2024,1/24/2025,FELONY,Plea
24-194,APCON,8/23/2024,00/00/0000,FELONY,
24-199,APCON,9/6/2024,10/14/2024,FELONY,Other
24-202,APCON,9/10/2024,00/00/0000,FELONY,
24-203,APCON,9/17/2024,11/14/2024,FELONY,Plea
24-204,APCON,9/18/2024,2/6/2025,FELONY,Plea
24-206,APCON,9/20/2024,00/00/0000,FELONY,
24-208,APCON,10/1/2024,3/3/2025,FELONY,Plea
24-210,APCON,9/30/2024,3/3/2025,FELONY,Other
24-211,APCON,9/30/2024,2/6/2025,FELONY,Plea
24-212,APCON,9/30/2024,00/00/0000,FELONY,
24-216,APCON,10/4/2024,11/14/2024,FELONY,Plea
24-217,APCON,10/4/2024,12/2/2024,FELONY,Plea
24-221,CRI,10/8/2024,00/00/0000,FELONY,
24-222,APCON,10/15/2024,2/1/2025,FELONY,Other
24-223,APCON,10/15/2024,3/3/2025,FELONY,Plea
24-225,APCON,10/15/2024,00/00/0000,FELONY,
24-226,APCON,9/30/2024,12/19/2024,FELONY,Plea
24-227,APCON,10/18/2024,2/1/2025,FELONY,Other
24-228,APCON,10/24/2024,00/00/0000,FELONY,
24-230,APCON,11/1/2024,00/00/0000,FELONY,
24-231,APCON,11/7/2024,00/00/0000,FELONY,
24-235,APCON,10/16/2024,12/31/2024,FELONY,Other
24-238,APCON,11/13/2024,00/00/0000,FELONY,
24-239,APCON,11/13/2024,00/00/0000,FELONY,
24-240,APCON,12/21/2024,00/00/0000,FELONY,
24-242,APCON,12/20/2023,12/21/2023,FELONY,Dismissal
24-245,APCON,11/26/2024,00/00/0000,FELONY,
24-248,APCON,12/2/2024,00/00/0000,FELONY,
24-251,APCON,12/6/2024,00/00/0000,FELONY,
24-252,APCON,12/10/2024,00/00/0000,FELONY,
24-261,APCON,12/12/2024,1/16/2025,FELONY,Plea
24-271,APCON,12/23/2024,2/20/2025,FELONY,Plea
24-275,APCON,12/23/2024,1/13/2025,FELONY,Plea
24-277,APCON,12/27/2024,1/30/2025,FELONY,Plea
24-278,APCON,12/27/2024,1/30/2025,FELONY,Plea
24-282,APCON,12/31/2024,00/00/0000,FELONY,
25-001,APCON,1/2/2025,3/3/2025,FELONY,Other
25-002,APCON,1/7/2025,1/17/2025,FELONY,Plea
25-004,APCON,1/8/2025,00/00/0000,FELONY,
25-006,APCON,1/8/2025,2/7/2025,FELONY,Plea
25-013,APCON,1/13/2025,2/6/2025,FELONY,Dismissal
25-014,APCON,1/15/2025,00/00/0000,FELONY,
25-018,APCON,1/16/2025,00/00/0000,FELONY,
25-022,APCON,1/22/2024,00/00/0000,FELONY,
25-023,APCON,1/28/2025,00/00/0000,FELONY,
25-027,APCON,2/11/2025,00/00/0000,FELONY,
25-031,APCON,2/21/2025,00/00/0000,FELONY,
25-033,APCON,2/25/2025,3/10/2025,FELONY,Dismissal
25-036,APCON,3/12/2025,00/00/0000,FELONY,
18-307,APCON,12/17/2018,1/9/2019,JUV,Other
18-153,APCON,6/29/2018,10/19/2022,JUVENILE,Plea
18-010,APCON,1/1/2018,7/1/2021,JUVENILE,Plea
18-238,APCON,1/11/2018,3/1/2022,JUVENILE,Plea
18-234,APCON,10/10/2018,6/5/2019,JUVENILE,Plea
19-014,APCON,12/20/2017,10/1/2022,JUVENILE,Plea
18-085,APCON,3/23/2018,4/1/2022,JUVENILE,Plea
18-051,APCON,2/22/2018,12/8/2018,JUVENILE,Other
17-316,APCON,11/8/2017,9/28/2022,JUVENILE,Plea
18-219,APCON,9/20/2018,10/16/2019,JUVENILE,Plea
19-064,APCON,3/1/2019,2/9/2022,JUVENILE,Plea
17-303,APJDSQ,11/1/2017,2/1/2025,JUVENILE,Plea
18-315,APCON,12/13/2017,12/2/2020,JUVENILE,Plea
17-358,APCON,12/13/2017,4/1/2022,JUVENILE,Plea
19-079,APCON,3/20/2019,3/18/2020,JUVENILE,Plea
17-355,APCON,12/6/2017,2/1/2018,JUVENILE,Plea
19-146,APCON,5/22/2019,4/1/2022,JUVENILE,Plea
19-019,APCON,1/15/2019,1/30/2019,JUVENILE,Plea
19-159,APCON,5/31/2019,1/29/2020,JUVENILE,Other
18-050,APCON,2/22/2018,6/26/2019,JUVENILE,Plea
19-178,APCON,6/20/2019,11/1/2022,JUVENILE,Plea
19-224,APCON,7/24/2019,7/31/2019,JUVENILE,Dismissal
19-236,APCON,8/1/2019,5/26/2022,JUVENILE,Plea
19-268,APCON,8/22/2019,10/2/2019,JUVENILE,Other
19-297,APCON,9/13/2019,7/21/2021,JUVENILE,Plea
19-310,APCON,9/25/2019,6/1/2020,JUVENILE,Plea
19-326,APCON,1/15/2019,8/4/2021,JUVENILE,Plea
19-379,APCON,12/3/2019,5/28/2020,JUVENILE,Dismissal
20-093,APCON,3/18/2020,3/18/2020,JUVENILE,Other
20-137,APCON,6/11/2020,4/19/2023,JUVENILE,Plea
20-209,APCON,8/13/2020,4/1/2022,JUVENILE,Plea
20-237,APJVSQ,9/4/2020,7/30/2021,JUVENILE,DISMISSAL
20-272,APCON,10/14/2020,5/12/2022,JUVENILE,Plea
20-308,APCON,11/5/2020,5/4/2022,JUVENILE,Plea
21-006,APJDSQ,1/15/2021,12/7/2022,JUVENILE,Plea
21-007,APJVSQ,1/11/2021,6/20/2022,JUVENILE,OTHER
21-022,APCON,2/5/2021,4/5/2023,JUVENILE,Plea
21-034,APJVSQ,2/10/2021,7/15/2022,JUVENILE,OTHER
18-187,APCON,12/20/2017,8/8/2018,JUVENILE,Plea
18-209,APCON,9/5/2018,9/25/2018,JUVENILE,Other
21-119,APCON,5/13/2021,11/17/2023,JUVENILE,Plea
21-157,APJDSQ,7/1/2021,00/00/0000,JUVENILE,
21-171,APCON,7/1/2021,4/1/2022,JUVENILE,Plea
22-031,APJDSQ,2/14/2022,9/12/2023,JUVENILE,Other
22-276,APJDSQ,11/18/2022,8/21/2024,JUVENILE,Plea
23-251,APJDSQ,10/12/2023,12/13/2023,JUVENILE,Other
19-009,APCON,1/8/2019,6/3/2019,MISDO,Plea
18-308,APCON,12/18/2018,7/8/2019,MISDO,Plea
18-119,APCON,5/1/2018,00/00/0000,MISDO,
19-010,APCON,1/4/2019,3/25/2019,MISDO,Plea
19-002,APCON,1/4/2019,3/25/2019,MISDO,Dismissed
19-045,APCON,2/8/2019,3/25/2019,MISDO,Dismissed
18-139,APCON,6/4/2018,5/14/2019,MISDO,Plea
18-299,APCON,12/7/2018,5/21/2019,MISDO,Other
19-049,APCON,2/15/2019,3/1/2022,MISDO,Other
19-037,APCON,1/30/2019,11/19/2019,MISDO,Other
19-061,APCON,2/26/2019,11/4/2019,MISDO,Plea
18-274,APCON,11/9/2018,10/30/2019,MISDO,Dismissal
18-314,APCON,12/21/2018,7/15/2019,MISDO,Plea
19-036,APCON,1/30/2019,00/00/0000,MISDO,
18-304,APCON,11/9/2018,10/30/2019,MISDO,Plea
18-256,APCON,10/17/2018,11/5/2019,MISDO,Plea
18-252,APCON,10/16/2018,7/1/2019,MISDO,Plea
18-221,APCON,9/18/2018,3/1/2019,Misdo,Dismissal
19-067,APCON,3/1/2019,7/30/2019,MISDO,Plea
18-100,APCON,11/10/2018,8/4/2020,MISDO,Dismissal
18-227,APCON,9/21/2018,5/6/2019,MISDO,Dismissal
18-006,APCON,1/9/2018,5/17/2021,MISDO,Plea
18-092,APCON,1/9/2018,5/17/2021,MISDO,Dismissal
18-270,APCON,1/9/2018,5/17/2021,MISDO,Plea
18-296,APCON,12/4/2018,7/12/2024,MISDO,Dismissal
19-020,APCON,1/18/2019,8/12/2019,MISDO,Plea
19-027,APCON,1/29/2019,4/29/2019,MISDO,Plea
19-059,APCON,2/26/2019,7/29/2019,MISDO,Plea
18-115,APCON,4/20/2018,11/2/2020,MISDO,Plea
18-319,APCON,4/20/2018,11/2/2020,MISDO,Plea
18-069,APCON,2/16/2018,5/17/2021,MISDO,Plea
18-047,APCON,2/16/2018,5/17/2021,MISDO,Plea
18-108,APCON,2/16/2018,5/17/2021,MISDO,Plea
18-116,APCON,4/20/2018,1/27/2020,MISDO,Plea
18-271,APCON,4/20/2018,1/27/2020,MISDO,Plea
18-251,APCON,10/16/2018,7/29/2019,MISDO,Plea
18-094,APCON,4/3/2018,00/00/0000,MISDO,
18-237,APCON,10/4/2018,5/7/2019,MISDO,Dismissal
18-037,APCON,2/9/2018,6/4/2019,MISDO,Plea
18-158,APCON,7/6/2018,2/1/2025,MISDO,Other
17-323,APCON,11/6/2017,00/00/0000,MISDO,
19-066,APCON,3/1/2019,3/8/2022,MISDO,Other
19-008,APCON,12/18/2018,3/25/2019,MISDO,Plea
18-294,APCON,11/30/2018,3/12/2019,MISDO,Dismissal
18-149,APCON,6/19/2018,6/21/2019,MISDO,Plea
18-320,APCON,6/9/2018,8/2/2019,MISDO,Plea
19-070,APCON,3/8/2019,11/15/2022,MISDO,Other
18-176,APCON,7/18/2018,00/00/0000,MISDO,
18-124,APCON,5/4/2018,4/10/2019,MISDO,Plea
20-045,APCON,2/25/2020,6/30/2020,MISDO,Plea
18-211,APCON,9/5/2018,5/11/2020,MISDO,Dismissed
18-312,APCON,12/24/2018,1/17/2023,MISDO,Plea
17-314,APCON,12/12/2017,7/15/2019,MISDO,Plea
18-205,APCON,12/12/2017,7/16/2019,MISDO,Plea
17-311,APCON,10/30/2017,5/6/2019,MISDO,Plea
18-265,APCON,10/30/2017,5/16/2019,MISDO,Plea
18-248,APCON,10/12/2018,00/00/0000,MISDO,
18-247,APCON,10/12/2018,00/00/0000,MISDO,
18-210,APCON,9/4/2018,7/16/2019,MISDO,Plea
18-026,APCON,2/6/2018,00/00/0000,MISDO,
18-224,APCON,9/20/2018,00/00/0000,MISDO,
18-215,APCON,9/11/2018,11/19/2019,MISDO,Plea
18-173,APCON,7/17/2018,10/7/2019,MISDO,Plea
18-035,APCON,2/9/2018,00/00/0000,MISDO,
18-291,APCON,11/27/2018,6/3/2019,MISDO,Plea
18-093,APCON,4/3/2018,7/30/2018,Misdo,Dismissed
17-313,APCON,1/30/2018,00/00/0000,MISDO,
17-308,APCON,10/3/2017,00/00/0000,MISDO,
18-239,APCON,10/4/2018,00/00/0000,MISDO,
18-313,APCON,12/21/2018,6/15/2020,MISDO,Plea
18-177,APCON,7/20/2018,00/00/0000,MISDO,
18-196,APCON,8/14/2018,5/7/2019,MISDO,Plea
19-050,APCON,2/15/2019,8/5/2019,MISDO,Plea
18-060,APCON,3/7/2018,7/15/2019,MISDO,Plea
19-004,APCON,3/7/2018,7/15/2019,MISDO,Plea
18-212,APCON,9/17/2018,5/24/2019,MISDO,Plea
18-243,APCON,10/9/2018,5/6/2019,MISDO,Plea
19-047,APCON,2/13/2019,3/15/2019,MISDO,Plea
19-046,APCON,2/13/2019,3/15/2019,MISDO,Plea
18-311,APCON,12/21/2018,4/29/2019,MISDO,Plea
19-005,APCON,12/21/2018,4/29/2019,MISDO,Dismissal
19-028,APCON,1/29/2019,10/22/2019,MISDO,Dismissed
19-044,APCON,2/5/2019,12/16/2019,MISDO,Plea
19-006,APCON,1/7/2019,9/12/2019,MISDO,Plea
18-193,APCON,8/7/2018,8/1/2019,MISDO,Plea
18-111,APCON,4/18/2018,5/17/2019,MISDO,Plea
18-262,APCON,10/30/2018,5/20/2019,MISDO,Plea
18-259,APCON,10/19/2018,6/3/2019,MISDO,Plea
18-241,APCON,10/9/2018,9/9/2019,MISDO,Plea
17-315,APCON,10/31/2017,5/12/2023,MISDO,Other
19-034,APCON,1/29/2019,5/12/2023,MISDO,Other
19-072,APCON,3/11/2019,10/3/2019,MISDO,Trial
19-075,APCON,3/12/2019,4/29/2019,MISDO,Plea
19-033,APCON,1/29/2019,7/8/2019,MISDO,Plea
18-125,APCON,5/4/2018,10/1/2019,MISDO,Plea
17-384,APCON,10/30/2017,3/1/2019,MISDO,Plea
17-331,APCON,10/30/2017,9/12/2018,MISDO,Plea
